Item Code,Avg. Rate,Qty
90000012,0,3
90000014,0,1
90000015,0,1
90000016,0,1
90000017,0,1
90000018,0,1
90000019,0,5
90000020,0,5
90000021,0,2
90000022,0,3
90000023,0,2
90000024,0,4
90000025,0,3
90000026,0,6
90000027,0,6
90000029,0,11
90000030,0,9
90000031,0,4
90000032,0,4
90000033,0,92
90000034,0,10
90000035,0,1
90000036,0,12
90000037,0,5
90000038,0,1
90000039,0,1
90000040,0,17
90000041,0,14
90000042,0,1
90000043,0,1
90000044,0,100
90000045,590.91,22
90000046,0,2
90000048,0,19
90000049,0,14
90000050,0,4
90000051,0,25
90000052,0,2
90000053,0,3
90000054,0,18
90000056,0,84
90000057,0,7
90000058,0,8
90000059,0,19
90000060,0,10
90000061,0,10
90000062,0,10
90000063,0,19
90000064,0,18
90000065,0,10
90000066,0,12
90000067,0,1
90000068,0,6
90000069,0,1
90000070,0,7
90000071,0,15
90000072,0,149
90000073,0,2
90000074,0,11
90000075,0,1
90000076,0,6
90000077,0,2
90000078,0,4
90000079,0,1
90000080,0,1
90000082,0,4
90000084,0,1
90000085,0,7
90000086,0,1
90000087,0,1
90000089,0,2
90000090,0,5
90000091,0,2
90000092,0,48
90000093,0,2
90000094,0,8
90000095,0,35
90000096,0,2
90000097,0,5
90000098,0,1
90000099,0,2
90000100,0,2
90000101,0,1
90000102,0,3
90000103,0,4
90000104,0,2
90000105,0,30
90000106,0,30
90000107,0,4
90000108,0,1
90000109,0,5
90000111,0,5
90000112,0,1
90000114,0,1
90000115,0,1
90000116,0,11
90000117,0,1
90000119,0,2
90000120,0,5
90000121,0,13
90000122,0,2
90000123,0,6
90000124,0,1
90000125,0,2
90000126,0,4
90000127,0,24
90000128,0,8
90000129,0,1
90000130,0,13
90000131,0,14
90000132,0,2
90000133,0,4
90000135,0,11
90000136,0,1
90000137,0,4
90000139,0,1
90000140,0,4
90000141,0,1
90000142,0,16
90000143,0,2
90000144,0,1
90000145,0,1
90000146,0,1
90000147,0,1
90000148,0,1
90000149,0,3
90000150,0,1
90000151,0,4
90000152,0,1
90000153,0,6
90000154,0,6
90000156,0,2
90000157,0,1
90000158,0,2
90000159,0,1
90000160,0,1
90000161,0,1
90000162,0,5
90000163,0,3
90000164,0,2
90000166,0,1
90000167,0,1
90000168,0,1
90000169,0,2
90000170,0,2
90000171,0,1
90000172,0,1
90000173,0,1
90000174,0,1
90000175,0,1
90000176,0,1
90000177,0,3
90000178,0,1
90000179,0,-1
90000180,0,-5
90000181,0,3
90017097,4910,1
90017108,0,7
90017109,0,9
90017110,0,1
90017111,0,1
90017135,0,1
90017152,2783.5,1
90017201,2553.72,1
90017202,2984.55,3
90017203,575,1
90023705,0,2
90023706,0,6
90037116,0,2
90037119,0,9
90037126,0,3
90037128,0,1
90037137,0,169
90037145,0,4
90037147,0,4
90037161,0,1
90037162,0,1
90037164,0,31
90037165,0,1
90037166,0,1
90037167,0,11
90037168,0,2
90037169,0,1
90037173,0,12
90037178,0,1
90037179,0,1
90037185,0,7
90037190,0,13
90037201,0,2
90037214,0,9
90037217,0,1
90037231,0,1
90037232,0,1
90037238,0,150
90037245,0,1
90037251,0,6
90037254,0,6
90037255,0,1
90037258,0,22
90037260,0,3
90037261,0,1
90037264,0,2
90037265,0,1
90037266,0,4
90037267,0,4
90037272,0,1
90037301,0,1
90037313,0,2
90037327,0,1
90037328,0,1
90037334,0,1
90037335,0,1
90037474,0,3
90037491,0,1
90037582,0,1
90037584,0,6
90037587,0,21
90037591,0,2
90037593,0,12
90037595,0,40
90037653,0,2
90037654,0,2
90043124,0,1
90043210,0,4
90043224,0,2
90043231,0,5
90045132,66.67,20
90045157,0,14
90045184,0,2
90046219,0,2
90049129,0,3
90133130,0,2
90148218,0,2
90171108,0,2
90171121,0,12
90324222,0,1
90324245,0,2
90324276,0,1
90324826,0,2
90324861,0,1
90339127,0,5
90339219,0,7
90339293,0,8
90339363,0,6
90339390,0,1
90351502,0,1
90357730,0,1
90378148,21200,1
90378149,19888.89,3
90378152,227.64,275
90378177,0,6
90378179,0,3
90378327,1461.67,15
90385501,0,2
90385503,0,1
90385505,0,3
90385511,0,4
90385512,0,5
90458119,0,2
90458139,0,21
90458149,0,17
90471141,0,4
90471242,0,4
90471337,0,125
90471338,0,6
90471419,200,1
90475138,0,1
90486560,0,1
90546229,0,2
90546261,0,9
90546363,0,10
90546382,0,2
90563193,0,1
90594100,0,8
90594101,0,4
90594102,0,3
